"","score","geneList","realAUC","realP20R","realP43R","AUC_CI","PR20_CI","PR43_CI"
"1","redo_forec_score","new.SFARIHC",0.93509,"53.5607","31.7954","0.91792, 0.95392","38.22933, 77.31838","23.84635, 40.22078"
"2","noClass_forec_score","new.SFARIHC",0.91517,"59.1837","26.0853","0.89595, 0.93616","36.1866, 77.2727","15.68641, 38.3838"
"3","noClassPPI_forec_score","new.SFARIHC",0.89242,"63.0435","21.1884","0.86913, 0.91686","30, 79.1667","12.17104, 31.28931"
"4","noClassPPIBS_forec_score","new.SFARIHC",0.86979,"56.3372","10.5614","0.84595, 0.89493","34.7826, 77.10664","7.04571, 19.74209"
"5","PPIonly_forec_score","new.SFARIHC",0.79387,"8.7625","5.1229*","0.76281, 0.82693","5.44067, 13.95389","4.157, 6.54889"
"6","BrainSpanOnly_forec_score","new.SFARIHC",0.8031,"5.6367","3.8648*","0.77492, 0.83322","4.4108, 8.13735","2.87467, 5.74873"
